initial,t,line,type,D,hittlimit
1,[0.1],[1],dynamic,0.03,false
1,[0.1],[1],static,0.03,false
2,[0.1],[2],dynamic,0.03,false
2,[0.1],[2],static,0.03,false
3,[0.1],[3],dynamic,0.03,false
3,[0.1],[3],static,0.03,false
4,[0.1],[4],dynamic,0.03,false
4,[0.1],[4],static,0.03,false
5,[0.1],[5],dynamic,0.03,false
5,[0.1],[5],static,0.03,false
6,[0.1],[6],dynamic,0.03,false
6,[0.1],[6],static,0.03,false
7,[0.1],[7],dynamic,0.03,false
7,[0.1],[7],static,0.03,false
8,[0.1],[8],dynamic,0.03,false
8,[0.1],[8],static,0.03,false
9,[0.1],[9],dynamic,0.03,false
9,[0.1],[9],static,0.03,false
10,[0.1],[10],dynamic,0.03,false
10,[0.1],[10],static,0.03,false
11,"[0.1, 0.16508209801623194]","[11, 12]",dynamic,0.03,false
11,"[0.1, 16.2328426452411]","[11, 12]",static,0.03,false
12,"[0.1, 0.14955037920019779]","[12, 11]",dynamic,0.03,false
12,"[0.1, 15.144440307782297]","[12, 11]",static,0.03,false
13,[0.1],[13],dynamic,0.03,false
13,[0.1],[13],static,0.03,false
14,[0.1],[14],dynamic,0.03,false
14,[0.1],[14],static,0.03,false
15,[0.1],[15],dynamic,0.03,false
15,[0.1],[15],static,0.03,false
16,[0.1],[16],dynamic,0.03,false
16,[0.1],[16],static,0.03,false
17,[0.1],[17],dynamic,0.03,false
17,[0.1],[17],static,0.03,false
18,[0.1],[18],dynamic,0.03,false
18,[0.1],[18],static,0.03,false
19,[0.1],[19],dynamic,0.03,false
19,[0.1],[19],static,0.03,false
20,[0.1],[20],dynamic,0.03,false
20,[0.1],[20],static,0.03,false
21,[0.1],[21],dynamic,0.03,false
21,[0.1],[21],static,0.03,false
22,"[0.1, 0.27414337693910235, 0.3398011470702792]","[22, 11, 12]",dynamic,0.03,false
22,[0.1],[22],static,0.03,false
23,[0.1],[23],dynamic,0.03,false
23,[0.1],[23],static,0.03,false
24,[0.1],[24],dynamic,0.03,false
24,[0.1],[24],static,0.03,false
25,[0.1],[25],dynamic,0.03,false
25,[0.1],[25],static,0.03,false
26,[0.1],[26],dynamic,0.03,false
26,[0.1],[26],static,0.03,false
27,"[0.1, 0.14328139965143616, 0.1958504135560734, 0.2607163934491149, 0.2806324266572521, 0.41930972343903594, 0.4905500066254417, 0.4951809213027471, 0.5670956252468861, 0.5671115799883435, 0.5818624051355381, 0.5827621282882923, 0.606101585897239]","[27, 29, 11, 12, 37, 71, 60, 59, 100, 73, 41, 98, 39]",dynamic,0.03,true
27,[0.1],[27],static,0.03,false
28,[0.1],[28],dynamic,0.03,false
28,[0.1],[28],static,0.03,false
29,"[0.1, 0.22818735220794265, 0.2920119673947531, 0.30576308600783897, 0.3533949003329279, 0.35822929888170607, 0.38415888661012415, 0.42017787312669147, 0.42044847497851146, 0.422987121828917, 0.42475869133578964, 0.42522466703048406, 0.42603819884585603, 0.5122204147415819, 0.5447137026937733]","[29, 27, 11, 35, 12, 37, 19, 21, 22, 3, 4, 5, 2, 38, 23]",dynamic,0.03,false
29,[0.1],[29],static,0.03,false
30,[0.1],[30],dynamic,0.03,false
30,[0.1],[30],static,0.03,false
31,[0.1],[31],dynamic,0.03,false
31,[0.1],[31],static,0.03,false
32,[0.1],[32],dynamic,0.03,false
32,[0.1],[32],static,0.03,false
33,[0.1],[33],dynamic,0.03,false
33,[0.1],[33],static,0.03,false
34,[0.1],[34],dynamic,0.03,false
34,[0.1],[34],static,0.03,false
35,[0.1],[35],dynamic,0.03,false
35,[0.1],[35],static,0.03,false
36,[0.1],[36],dynamic,0.03,false
36,[0.1],[36],static,0.03,false
37,[0.1],[37],dynamic,0.03,false
37,[0.1],[37],static,0.03,false
38,[0.1],[38],dynamic,0.03,false
38,[0.1],[38],static,0.03,false
39,[0.1],[39],dynamic,0.03,false
39,[0.1],[39],static,0.03,false
40,[0.1],[40],dynamic,0.03,false
40,[0.1],[40],static,0.03,false
41,[0.1],[41],dynamic,0.03,false
41,[0.1],[41],static,0.03,false
42,[0.1],[42],dynamic,0.03,false
42,[0.1],[42],static,0.03,false
43,[0.1],[43],dynamic,0.03,false
43,[0.1],[43],static,0.03,false
44,[0.1],[44],dynamic,0.03,false
44,[0.1],[44],static,0.03,false
45,[0.1],[45],dynamic,0.03,false
45,[0.1],[45],static,0.03,false
46,[0.1],[46],dynamic,0.03,false
46,[0.1],[46],static,0.03,false
47,[0.1],[47],dynamic,0.03,false
47,[0.1],[47],static,0.03,false
48,[0.1],[48],dynamic,0.03,false
48,[0.1],[48],static,0.03,false
49,[0.1],[49],dynamic,0.03,false
49,[0.1],[49],static,0.03,false
50,"[0.1, 0.19636052785863875]","[50, 51]",dynamic,0.03,false
50,[0.1],[50],static,0.03,false
51,"[0.1, 0.2053870562885724]","[51, 50]",dynamic,0.03,false
51,[0.1],[51],static,0.03,false
52,[0.1],[52],dynamic,0.03,false
52,[0.1],[52],static,0.03,false
53,[0.1],[53],dynamic,0.03,false
53,[0.1],[53],static,0.03,false
54,[0.1],[54],dynamic,0.03,false
54,[0.1],[54],static,0.03,false
55,[0.1],[55],dynamic,0.03,false
55,[0.1],[55],static,0.03,false
56,[0.1],[56],dynamic,0.03,false
56,[0.1],[56],static,0.03,false
57,[0.1],[57],dynamic,0.03,false
57,[0.1],[57],static,0.03,false
58,[0.1],[58],dynamic,0.03,false
58,[0.1],[58],static,0.03,false
59,[0.1],[59],dynamic,0.03,false
59,[0.1],[59],static,0.03,false
60,[0.1],[60],dynamic,0.03,false
60,[0.1],[60],static,0.03,false
61,[0.1],[61],dynamic,0.03,false
61,[0.1],[61],static,0.03,false
62,[0.1],[62],dynamic,0.03,false
62,[0.1],[62],static,0.03,false
63,"[0.1, 0.1534661923995266, 0.27823295883726673]","[63, 65, 38]",dynamic,0.03,false
63,[0.1],[63],static,0.03,false
64,[0.1],[64],dynamic,0.03,false
64,[0.1],[64],static,0.03,false
65,[0.1],[65],dynamic,0.03,false
65,[0.1],[65],static,0.03,false
66,[0.1],[66],dynamic,0.03,false
66,[0.1],[66],static,0.03,false
67,[0.1],[67],dynamic,0.03,false
67,[0.1],[67],static,0.03,false
68,[0.1],[68],dynamic,0.03,false
68,[0.1],[68],static,0.03,false
69,[0.1],[69],dynamic,0.03,false
69,[0.1],[69],static,0.03,false
70,[0.1],[70],dynamic,0.03,false
70,[0.1],[70],static,0.03,false
71,[0.1],[71],dynamic,0.03,false
71,[0.1],[71],static,0.03,false
72,[0.1],[72],dynamic,0.03,false
72,[0.1],[72],static,0.03,false
73,[0.1],[73],dynamic,0.03,false
73,[0.1],[73],static,0.03,false
74,[0.1],[74],dynamic,0.03,false
74,[0.1],[74],static,0.03,false
75,[0.1],[75],dynamic,0.03,false
75,[0.1],[75],static,0.03,false
76,[0.1],[76],dynamic,0.03,false
76,[0.1],[76],static,0.03,false
77,[0.1],[77],dynamic,0.03,false
77,[0.1],[77],static,0.03,false
78,[0.1],[78],dynamic,0.03,false
78,[0.1],[78],static,0.03,false
79,[0.1],[79],dynamic,0.03,false
79,[0.1],[79],static,0.03,false
80,[0.1],[80],dynamic,0.03,false
80,[0.1],[80],static,0.03,false
81,[0.1],[81],dynamic,0.03,false
81,[0.1],[81],static,0.03,false
82,[0.1],[82],dynamic,0.03,false
82,[0.1],[82],static,0.03,false
83,[0.1],[83],dynamic,0.03,false
83,[0.1],[83],static,0.03,false
84,[0.1],[84],dynamic,0.03,false
84,[0.1],[84],static,0.03,false
85,"[0.1, 0.1962733134162068]","[85, 86]",dynamic,0.03,false
85,[0.1],[85],static,0.03,false
86,"[0.1, 0.20680582059911937]","[86, 85]",dynamic,0.03,false
86,[0.1],[86],static,0.03,false
87,[0.1],[87],dynamic,0.03,false
87,[0.1],[87],static,0.03,false
88,[0.1],[88],dynamic,0.03,false
88,[0.1],[88],static,0.03,false
89,[0.1],[89],dynamic,0.03,false
89,[0.1],[89],static,0.03,false
90,[0.1],[90],dynamic,0.03,false
90,[0.1],[90],static,0.03,false
91,[0.1],[91],dynamic,0.03,false
91,[0.1],[91],static,0.03,false
92,[0.1],[92],dynamic,0.03,false
92,[0.1],[92],static,0.03,false
93,[0.1],[93],dynamic,0.03,false
93,[0.1],[93],static,0.03,false
94,[0.1],[94],dynamic,0.03,false
94,[0.1],[94],static,0.03,false
95,[0.1],[95],dynamic,0.03,false
95,[0.1],[95],static,0.03,false
96,[0.1],[96],dynamic,0.03,false
96,[0.1],[96],static,0.03,false
97,[0.1],[97],dynamic,0.03,false
97,[0.1],[97],static,0.03,false
98,"[0.1, 0.14109076611214177, 0.2707916347604948, 0.28617459586822924, 0.31009316079802707, 0.33759887013499423, 0.3394964160730412, 0.3428376852738451, 0.37384398357455356, 0.39907108605027075, 0.4099104366437768, 0.4150429912688645, 0.4278935563986434, 0.43234679542821425, 0.45444389629540577, 0.4582946920316689]","[98, 100, 73, 106, 11, 95, 94, 91, 12, 37, 84, 76, 78, 77, 75, 74]",dynamic,0.03,false
98,"[0.1, 16.299737451883463, 33.44683670012797, 33.44683670012797, 33.44683670012797, 33.44683670012797, 33.44683670012797, 55.12159306999808]","[98, 100, 11, 37, 71, 73, 106, 12]",static,0.03,false
99,[0.1],[99],dynamic,0.03,false
99,[0.1],[99],static,0.03,false
100,"[0.1, 0.14319509604542077, 0.27947631636944475, 0.28073034785049183, 0.31287997235303766, 0.3600703090210362, 0.3775815101710568]","[100, 98, 104, 73, 11, 37, 12]",dynamic,0.03,false
100,"[0.1, 15.07259682265233, 32.726186483826865, 32.726186483826865, 32.726186483826865, 32.726186483826865, 32.726186483826865, 54.40091707883586]","[100, 98, 11, 37, 71, 73, 106, 12]",static,0.03,false
101,[0.1],[101],dynamic,0.03,false
101,[0.1],[101],static,0.03,false
102,[0.1],[102],dynamic,0.03,false
102,[0.1],[102],static,0.03,false
103,[0.1],[103],dynamic,0.03,false
103,[0.1],[103],static,0.03,false
104,[0.1],[104],dynamic,0.03,false
104,[0.1],[104],static,0.03,false
105,[0.1],[105],dynamic,0.03,false
105,[0.1],[105],static,0.03,false
106,[0.1],[106],dynamic,0.03,false
106,[0.1],[106],static,0.03,false
107,[0.1],[107],dynamic,0.03,false
107,[0.1],[107],static,0.03,false
108,[0.1],[108],dynamic,0.03,false
108,[0.1],[108],static,0.03,false
