initial,t,line,type,D,hittlimit
80,[0.1],[80],static,0.1,false
81,[0.1],[81],dynamic,0.1,false
81,[0.1],[81],static,0.1,false
82,[0.1],[82],dynamic,0.1,false
82,[0.1],[82],static,0.1,false
83,[0.1],[83],dynamic,0.1,false
83,[0.1],[83],static,0.1,false
84,[0.1],[84],dynamic,0.1,false
84,[0.1],[84],static,0.1,false
85,"[0.1, 0.22411341866136242]","[85, 86]",dynamic,0.1,false
85,[0.1],[85],static,0.1,false
86,[0.1],[86],dynamic,0.1,false
86,[0.1],[86],static,0.1,false
87,[0.1],[87],dynamic,0.1,false
87,[0.1],[87],static,0.1,false
88,[0.1],[88],dynamic,0.1,false
88,[0.1],[88],static,0.1,false
89,[0.1],[89],dynamic,0.1,false
89,[0.1],[89],static,0.1,false
90,[0.1],[90],dynamic,0.1,false
90,[0.1],[90],static,0.1,false
91,[0.1],[91],dynamic,0.1,false
91,[0.1],[91],static,0.1,false
92,[0.1],[92],dynamic,0.1,false
92,[0.1],[92],static,0.1,false
93,[0.1],[93],dynamic,0.1,false
93,[0.1],[93],static,0.1,false
94,[0.1],[94],dynamic,0.1,false
94,[0.1],[94],static,0.1,false
95,[0.1],[95],dynamic,0.1,false
95,[0.1],[95],static,0.1,false
96,[0.1],[96],dynamic,0.1,false
96,[0.1],[96],static,0.1,false
97,[0.1],[97],dynamic,0.1,false
97,[0.1],[97],static,0.1,false
98,"[0.1, 0.14403058892339976, 0.3000548044715628, 0.3409192769997904, 0.4123856353562824, 0.4317103856287633]","[98, 100, 73, 11, 12, 37]",dynamic,0.1,false
98,"[0.1, 7.763690620230424, 15.221832127492304, 15.221832127492304, 15.221832127492304, 15.221832127492304, 15.221832127492304, 41.637030642543955]","[98, 100, 11, 37, 71, 73, 106, 12]",static,0.1,false
99,[0.1],[99],dynamic,0.1,false
99,[0.1],[99],static,0.1,false
100,"[0.1, 0.14748887147084006, 0.30241762168851133, 0.3436948285815394, 0.4147121944505977, 0.4323523443575235]","[100, 98, 73, 11, 12, 37]",dynamic,0.1,false
100,"[0.1, 7.46544517472696, 15.247157156931326, 15.247157156931326, 15.247157156931326, 15.247157156931326, 15.247157156931326, 41.66726348346064]","[100, 98, 11, 37, 71, 73, 106, 12]",static,0.1,false
101,[0.1],[101],dynamic,0.1,false
101,[0.1],[101],static,0.1,false
102,[0.1],[102],dynamic,0.1,false
102,[0.1],[102],static,0.1,false
103,[0.1],[103],dynamic,0.1,false
103,[0.1],[103],static,0.1,false
104,[0.1],[104],dynamic,0.1,false
104,[0.1],[104],static,0.1,false
105,[0.1],[105],dynamic,0.1,false
105,[0.1],[105],static,0.1,false
106,[0.1],[106],dynamic,0.1,false
106,[0.1],[106],static,0.1,false
107,[0.1],[107],dynamic,0.1,false
107,[0.1],[107],static,0.1,false
108,[0.1],[108],dynamic,0.1,false
108,[0.1],[108],static,0.1,false
