initial,t,line,type,D,hittlimit
1,[0.1],[1],dynamic,0.1,false
1,[0.1],[1],static,0.1,false
2,[0.1],[2],dynamic,0.1,false
2,[0.1],[2],static,0.1,false
3,[0.1],[3],dynamic,0.1,false
3,[0.1],[3],static,0.1,false
4,[0.1],[4],dynamic,0.1,false
4,[0.1],[4],static,0.1,false
5,[0.1],[5],dynamic,0.1,false
5,[0.1],[5],static,0.1,false
6,[0.1],[6],dynamic,0.1,false
6,[0.1],[6],static,0.1,false
7,[0.1],[7],dynamic,0.1,false
7,[0.1],[7],static,0.1,false
8,[0.1],[8],dynamic,0.1,false
8,[0.1],[8],static,0.1,false
9,[0.1],[9],dynamic,0.1,false
9,[0.1],[9],static,0.1,false
10,[0.1],[10],dynamic,0.1,false
10,[0.1],[10],static,0.1,false
11,"[0.1, 0.17416362154201961]","[11, 12]",dynamic,0.1,false
11,"[0.1, 7.294328558289907]","[11, 12]",static,0.1,false
12,"[0.1, 0.15441016501858412]","[12, 11]",dynamic,0.1,false
12,"[0.1, 7.011556966685036]","[12, 11]",static,0.1,false
13,[0.1],[13],dynamic,0.1,false
13,[0.1],[13],static,0.1,false
14,[0.1],[14],dynamic,0.1,false
14,[0.1],[14],static,0.1,false
15,[0.1],[15],dynamic,0.1,false
15,[0.1],[15],static,0.1,false
16,[0.1],[16],dynamic,0.1,false
16,[0.1],[16],static,0.1,false
17,[0.1],[17],dynamic,0.1,false
17,[0.1],[17],static,0.1,false
18,[0.1],[18],dynamic,0.1,false
18,[0.1],[18],static,0.1,false
19,[0.1],[19],dynamic,0.1,false
19,[0.1],[19],static,0.1,false
20,[0.1],[20],dynamic,0.1,false
20,[0.1],[20],static,0.1,false
21,[0.1],[21],dynamic,0.1,false
21,[0.1],[21],static,0.1,false
22,[0.1],[22],dynamic,0.1,false
22,[0.1],[22],static,0.1,false
23,[0.1],[23],dynamic,0.1,false
23,[0.1],[23],static,0.1,false
24,[0.1],[24],dynamic,0.1,false
24,[0.1],[24],static,0.1,false
25,[0.1],[25],dynamic,0.1,false
25,[0.1],[25],static,0.1,false
26,[0.1],[26],dynamic,0.1,false
26,[0.1],[26],static,0.1,false
27,"[0.1, 0.15266954249065312, 0.2159115589233601, 0.28824828298109073, 0.30553983269387336]","[27, 29, 11, 12, 37]",dynamic,0.1,false
27,[0.1],[27],static,0.1,false
28,[0.1],[28],dynamic,0.1,false
28,[0.1],[28],static,0.1,false
29,"[0.1, 0.23882618825969607, 0.30773966660252927, 0.3767067359195902, 0.3838900513406433]","[29, 27, 11, 12, 37]",dynamic,0.1,false
29,[0.1],[29],static,0.1,false
30,[0.1],[30],dynamic,0.1,false
30,[0.1],[30],static,0.1,false
31,[0.1],[31],dynamic,0.1,false
31,[0.1],[31],static,0.1,false
32,[0.1],[32],dynamic,0.1,false
32,[0.1],[32],static,0.1,false
33,[0.1],[33],dynamic,0.1,false
33,[0.1],[33],static,0.1,false
34,[0.1],[34],dynamic,0.1,false
34,[0.1],[34],static,0.1,false
35,[0.1],[35],dynamic,0.1,false
35,[0.1],[35],static,0.1,false
36,[0.1],[36],dynamic,0.1,false
36,[0.1],[36],static,0.1,false
37,[0.1],[37],dynamic,0.1,false
37,[0.1],[37],static,0.1,false
38,[0.1],[38],dynamic,0.1,false
38,[0.1],[38],static,0.1,false
39,[0.1],[39],dynamic,0.1,false
39,[0.1],[39],static,0.1,false
40,[0.1],[40],dynamic,0.1,false
40,[0.1],[40],static,0.1,false
41,[0.1],[41],dynamic,0.1,false
41,[0.1],[41],static,0.1,false
42,[0.1],[42],dynamic,0.1,false
42,[0.1],[42],static,0.1,false
43,[0.1],[43],dynamic,0.1,false
43,[0.1],[43],static,0.1,false
44,[0.1],[44],dynamic,0.1,false
44,[0.1],[44],static,0.1,false
45,[0.1],[45],dynamic,0.1,false
45,[0.1],[45],static,0.1,false
46,[0.1],[46],dynamic,0.1,false
46,[0.1],[46],static,0.1,false
47,[0.1],[47],dynamic,0.1,false
47,[0.1],[47],static,0.1,false
48,[0.1],[48],dynamic,0.1,false
48,[0.1],[48],static,0.1,false
49,[0.1],[49],dynamic,0.1,false
49,[0.1],[49],static,0.1,false
50,"[0.1, 0.22487175516551233]","[50, 51]",dynamic,0.1,false
50,[0.1],[50],static,0.1,false
51,[0.1],[51],dynamic,0.1,false
51,[0.1],[51],static,0.1,false
52,[0.1],[52],dynamic,0.1,false
52,[0.1],[52],static,0.1,false
53,[0.1],[53],dynamic,0.1,false
53,[0.1],[53],static,0.1,false
54,[0.1],[54],dynamic,0.1,false
54,[0.1],[54],static,0.1,false
55,[0.1],[55],dynamic,0.1,false
55,[0.1],[55],static,0.1,false
56,[0.1],[56],dynamic,0.1,false
56,[0.1],[56],static,0.1,false
57,[0.1],[57],dynamic,0.1,false
57,[0.1],[57],static,0.1,false
58,[0.1],[58],dynamic,0.1,false
58,[0.1],[58],static,0.1,false
59,[0.1],[59],dynamic,0.1,false
59,[0.1],[59],static,0.1,false
60,[0.1],[60],dynamic,0.1,false
60,[0.1],[60],static,0.1,false
61,[0.1],[61],dynamic,0.1,false
61,[0.1],[61],static,0.1,false
62,[0.1],[62],dynamic,0.1,false
62,[0.1],[62],static,0.1,false
63,"[0.1, 0.2526497200497764, 0.3932561836597489]","[63, 65, 38]",dynamic,0.1,false
63,[0.1],[63],static,0.1,false
64,[0.1],[64],dynamic,0.1,false
64,[0.1],[64],static,0.1,false
65,[0.1],[65],dynamic,0.1,false
65,[0.1],[65],static,0.1,false
66,[0.1],[66],dynamic,0.1,false
66,[0.1],[66],static,0.1,false
67,[0.1],[67],dynamic,0.1,false
67,[0.1],[67],static,0.1,false
68,[0.1],[68],dynamic,0.1,false
68,[0.1],[68],static,0.1,false
69,[0.1],[69],dynamic,0.1,false
69,[0.1],[69],static,0.1,false
70,[0.1],[70],dynamic,0.1,false
70,[0.1],[70],static,0.1,false
71,[0.1],[71],dynamic,0.1,false
71,[0.1],[71],static,0.1,false
72,[0.1],[72],dynamic,0.1,false
72,[0.1],[72],static,0.1,false
73,[0.1],[73],dynamic,0.1,false
73,[0.1],[73],static,0.1,false
74,[0.1],[74],dynamic,0.1,false
74,[0.1],[74],static,0.1,false
75,[0.1],[75],dynamic,0.1,false
75,[0.1],[75],static,0.1,false
76,[0.1],[76],dynamic,0.1,false
76,[0.1],[76],static,0.1,false
77,[0.1],[77],dynamic,0.1,false
77,[0.1],[77],static,0.1,false
78,[0.1],[78],dynamic,0.1,false
78,[0.1],[78],static,0.1,false
79,[0.1],[79],dynamic,0.1,false
79,[0.1],[79],static,0.1,false
80,[0.1],[80],dynamic,0.1,false
