initial,t,line,type,D,hittlimit
59,[0.1],[59],static,0.01,false
60,[0.1],[60],dynamic,0.01,false
60,[0.1],[60],static,0.01,false
61,[0.1],[61],dynamic,0.01,false
61,[0.1],[61],static,0.01,false
62,[0.1],[62],dynamic,0.01,false
62,[0.1],[62],static,0.01,false
63,"[0.1, 0.15097049653665467, 0.2696325791309171, 0.5177049897610396, 0.57941745290797]","[63, 65, 38, 11, 12]",dynamic,0.01,true
63,[0.1],[63],static,0.01,false
64,[0.1],[64],dynamic,0.01,false
64,[0.1],[64],static,0.01,false
65,[0.1],[65],dynamic,0.01,false
65,[0.1],[65],static,0.01,false
66,[0.1],[66],dynamic,0.01,false
66,[0.1],[66],static,0.01,false
67,[0.1],[67],dynamic,0.01,false
67,[0.1],[67],static,0.01,false
68,[0.1],[68],dynamic,0.01,false
68,[0.1],[68],static,0.01,false
69,[0.1],[69],dynamic,0.01,false
69,[0.1],[69],static,0.01,false
70,[0.1],[70],dynamic,0.01,false
70,[0.1],[70],static,0.01,false
71,[0.1],[71],dynamic,0.01,false
71,[0.1],[71],static,0.01,false
72,[0.1],[72],dynamic,0.01,false
72,[0.1],[72],static,0.01,false
73,[0.1],[73],dynamic,0.01,false
73,[0.1],[73],static,0.01,false
74,[0.1],[74],dynamic,0.01,false
74,[0.1],[74],static,0.01,false
75,[0.1],[75],dynamic,0.01,false
75,[0.1],[75],static,0.01,false
76,[0.1],[76],dynamic,0.01,false
76,[0.1],[76],static,0.01,false
77,[0.1],[77],dynamic,0.01,false
77,[0.1],[77],static,0.01,false
78,[0.1],[78],dynamic,0.01,false
78,[0.1],[78],static,0.01,false
79,[0.1],[79],dynamic,0.01,false
79,[0.1],[79],static,0.01,false
80,[0.1],[80],dynamic,0.01,false
80,[0.1],[80],static,0.01,false
81,[0.1],[81],dynamic,0.01,false
81,[0.1],[81],static,0.01,false
82,[0.1],[82],dynamic,0.01,false
82,[0.1],[82],static,0.01,false
83,[0.1],[83],dynamic,0.01,false
83,[0.1],[83],static,0.01,false
84,[0.1],[84],dynamic,0.01,false
84,[0.1],[84],static,0.01,false
85,"[0.1, 0.1914394609454163]","[85, 86]",dynamic,0.01,false
85,[0.1],[85],static,0.01,false
86,"[0.1, 0.2003281452398184]","[86, 85]",dynamic,0.01,false
86,[0.1],[86],static,0.01,false
87,[0.1],[87],dynamic,0.01,false
87,[0.1],[87],static,0.01,false
88,[0.1],[88],dynamic,0.01,false
88,[0.1],[88],static,0.01,false
89,[0.1],[89],dynamic,0.01,false
89,[0.1],[89],static,0.01,false
90,[0.1],[90],dynamic,0.01,false
90,[0.1],[90],static,0.01,false
91,[0.1],[91],dynamic,0.01,false
91,[0.1],[91],static,0.01,false
92,[0.1],[92],dynamic,0.01,false
92,[0.1],[92],static,0.01,false
93,[0.1],[93],dynamic,0.01,false
93,[0.1],[93],static,0.01,false
94,[0.1],[94],dynamic,0.01,false
94,[0.1],[94],static,0.01,false
95,[0.1],[95],dynamic,0.01,false
95,[0.1],[95],static,0.01,false
96,[0.1],[96],dynamic,0.01,false
96,[0.1],[96],static,0.01,false
97,[0.1],[97],dynamic,0.01,false
97,[0.1],[97],static,0.01,false
