ArrayTaskID,inertia_values,freq_bounds,failure_modes,beta,k,N_nodes,K,gamma,tau,alpha,init_pert,sigma,mu,graph_seed,distr_seed,filepath
55,0.2,0.08,"[:dynamic, :none]",0.5,4,100,6,1,1,0.7,line,1,0,10,10,<filepath>
56,0.7,0.08,"[:dynamic, :none]",0.5,4,100,6,1,1,0.7,line,1,0,10,10,<filepath>
57,0.2,0.02,"[:none, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,10,10,<filepath>
58,0.7,0.02,"[:none, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,10,10,<filepath>
59,0.2,0.08,"[:none, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,10,10,<filepath>
60,0.7,0.08,"[:none, :dynamic]",0.5,4,100,6,1,1,0.7,line,1,0,10,10,<filepath>
61,0.2,0.02,"[:dynamic, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>
62,0.7,0.02,"[:dynamic, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>
63,0.2,0.08,"[:dynamic, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>
64,0.7,0.08,"[:dynamic, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>
65,0.2,0.02,"[:dynamic, :none]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>
66,0.7,0.02,"[:dynamic, :none]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>
67,0.2,0.08,"[:dynamic, :none]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>
68,0.7,0.08,"[:dynamic, :none]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>
69,0.2,0.02,"[:none, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>
70,0.7,0.02,"[:none, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>
71,0.2,0.08,"[:none, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>
72,0.7,0.08,"[:none, :dynamic]",0.9,4,100,6,1,1,0.7,line,1,0,11,11,<filepath>
